PERMITNUMBER,PERMITTYPE,PERMITSUBTYPE,ISSUED,DESCRIPTION,SITE_ADDR,CONTRACTOR_NAME,STATUS
DIS18-06286,HURRICANE MICHAEL,ROOF,43462,ROOF OVER 6 SQ,3701 TIPPECANOE LN,OWNER/BUILDER,FINALED
DIS18-06287,HURRICANE MICHAEL,ELECTRICAL,43462,Temp Construction Pole for Dem...,4304 GREENLEAF CIR,TONYS ELECTRICAL SERVICES LLC,FINALED
DIS18-06288,HURRICANE MICHAEL,ROOF,43462,REROOF - HURRICANE REPAIRS,5010 PRETTY,BARFIELD CONTRACTING & ASSOCIA...,FINALED
DIS18-06289,HURRICANE MICHAEL,ROOF,43462,DAMAGED ROOF PERMIT,11734 JASMINE ST,1ST CHOICE HOME IMPROVEMENTS I...,WITHDRAWN
DIS18-0629,HURRICANE MICHAEL,INTERIOR,43406,INTERIROR REMODEL - SEE NOTES,263 NELLIE ST 101,J T SHAW INC,ISSUED
DIS18-06290,HURRICANE MICHAEL,ROOF,43462,DAMAGED ROOF REPAIR,2927 CEDAR'S CROSSING,1ST CHOICE HOME IMPROVEMENTS I...,ISSUED
DIS18-06291,HURRICANE MICHAEL,ROOF,43462,DAMAGED ROOF REPAIR,1816 30TH ST W,"BENTLEY ROOFING, L.L.C.",ISSUED
DIS18-06292,HURRICANE MICHAEL,ELECTRICAL,43462,SERVICE REPAIR,2510 CEDAR LN,OWNER/BUILDER,FINALED
DIS18-06293,HURRICANE MICHAEL,ELECTRICAL,43462,Service Repair,2319 JUDSON ST,JERRY PYBUS ELECTRIC INC,FINALED
DIS18-06294,HURRICANE MICHAEL,ELECTRICAL,43462,PRE POWER INSPECTION - LOT 13,4513 PIPELINE RD,"MULLINS, JEANNIE",FINALED
DIS18-06295,HURRICANE MICHAEL,ELECTRICAL,43462,SERVICE REPAIR # 38,1836 EAST AVE N 38,JERRY PYBUS ELECTRIC INC,FINALED
DIS18-06296,HURRICANE MICHAEL,ELECTRICAL,43462,Service Repair,2810 LONGLEAF RD,JERRY PYBUS ELECTRIC INC,FINALED
DIS18-06297,HURRICANE MICHAEL,ELECTRICAL,43462,Service Repair,3330 BALDWIN RD E,JERRY PYBUS ELECTRIC INC,FINALED
DIS18-06298,HURRICANE MICHAEL,ROOF,43462,ROOF OVER 16SQ,6201 BIG DADDY DR,ALL-DADE GENERAL CONST INC,FINALED
DIS18-06299,HURRICANE MICHAEL,ROOF,43462,REROOF,3209 NAUTICAL DR,PONS CONSTRUCTION CO. INC.,FINALED
DIS18-0630,HURRICANE MICHAEL,INTERIOR,43406,INTERIOR REMODEL - SEE NOTES,263 NELLIE ST 101,J T SHAW INC,ISSUED
DIS18-06300,HURRICANE MICHAEL,ELECTRICAL,43462,SERVICE REPAIR,8336 HWY 2301,DAVE CAPPS ELECTRIC SERVICE,FINALED
DIS18-06301,HURRICANE MICHAEL,ROOF,43462,REROOF,9212 DOE CIR,OWNER/BUILDER,FINALED
DIS18-06302,HURRICANE MICHAEL,ROOF,43462,DAMAGED ROOF REPAIR,2920 KINGSWOOD DR,"ROUTT, CARRIE",FINALED
DIS18-06303,HURRICANE MICHAEL,ROOF,43462,REPLACEMENT ROOF 20 SQ,7636 THOMAS RD,PROFESSIONAL GENERAL CONTRACTO...,FINALED
DIS18-06304,HURRICANE MICHAEL,ROOF,43462,DAMAGED ROOF REPAIR,10734 HWY 388  E,"GURGANUS, DAVID ETAL",FINALED
DIS18-06305,HURRICANE MICHAEL,ROOF,43462,REROOF - HURRICANE REPAIRS,3113 WOOD VALLEY RD,TOOL TIME (RC) PORTABLE BUILDI...,ISSUED
DIS18-06306,HURRICANE MICHAEL,ROOF,43462,REROOF - HURRICANE REPAIRS,2316 MOUND AVE,TOOL TIME (RC) PORTABLE BUILDI...,ISSUED
DIS18-06307,HURRICANE MICHAEL,ROOF,43462,REROOF - HURRICANE REPAIRS,7136 DIANE LN,TOOL TIME (RC) PORTABLE BUILDI...,ISSUED
DIS18-06308,HURRICANE MICHAEL,ROOF,43462,Residential Hurricane Replacem...,11803 IVYDELL ST,ROOF DOCTORS LLC,FINALED
DIS18-06309,HURRICANE MICHAEL,ROOF,43462,DAMAGED ROOF REPAIR,7338 HWY 2301,"BLAKELY, MANFRED P & DARCE R",FINALED
DIS18-0631,HURRICANE MICHAEL,INTERIOR,43406,INTERIOR REMODEL - SEE NOTES,263 NELLIE ST 101,J T SHAW INC,ISSUED
DIS18-06310,HURRICANE MICHAEL,EXTERIOR,43462,REPLACE  VINYL SIDING,5520 MERRITT BROWN RD,DAVID MICHAEL KIRKLAND,ISSUED
DIS18-06311,HURRICANE MICHAEL,EXTERIOR,43462,REPLACE  VINYL SIDING,7119 BRETT RD,DAVID MICHAEL KIRKLAND,FINALED
DIS18-06312,HURRICANE MICHAEL,EXTERIOR,43462,REPLACE  VINYL SIDING,174 CONCORD CIR,DAVID MICHAEL KIRKLAND,FINALED
DIS18-06313,HURRICANE MICHAEL,ELECTRICAL,43462,SERVICE REPAIR  REPLACE WEATHE...,2727 PEARCY RD,OWNER BUILDER,FINALED
DIS18-06314,HURRICANE MICHAEL,ROOF,43462,REPLACEMENT ROOF 17 SQ,10630 HWY 388,OWNER/BUILDER,FINALED
DIS18-06315,HURRICANE MICHAEL,ELECTRICAL,43462,DAMAGED ELECTRICAL REPAIR,202 PALM DR,"REEVES, ANNE M ETAL",FINALED
DIS18-06316,HURRICANE MICHAEL,ELECTRICAL,43462,Temp Construction Pole,2805 LISENBY AVE,L & K ELECTRIC INC,FINALED
DIS18-06317,HURRICANE MICHAEL,INTERIOR/EXTERIOR, ,HURRICANE REPAIRS,6827 ELLIS RD,LAYFIELD CONSTRUCTION INC,SUBSTANTIAL DAMAGE DETERMINED
DIS18-06318,HURRICANE MICHAEL,ROOF,43462,REROOF -HURRICANE REPAIRS,4334 SCHOONER LN,SPINNER'S CONSTRUCTION LLC,FINALED
DIS18-06319,HURRICANE MICHAEL,INTERIOR/EXTERIOR,43462,REMOVE & REPLACE 3 TRUSSES & R...,2230 AMHURST ST,HALL SOUTHERN CONSTRUCTION INC,FINALED
DIS18-0632,HURRICANE MICHAEL,INTERIOR,43406,INTERIOR REMODEL - SEE NOTES,263 NELLIE ST 101,J T SHAW INC,ISSUED
DIS18-06320,HURRICANE MICHAEL,INTERIOR/EXTERIOR,43462,HURRICANE REPAIRS-SOFFIT,4334 SCHOONER LN,SPINNER'S CONSTRUCTION LLC,ISSUED
DIS18-06321,HURRICANE MICHAEL,ROOF,43462,DAMAGED ROOF REPAIR,3637 OAKBROOK LN,JEFF PHILLIPS CONSTRUCTION INC,ISSUED
DIS18-06322,HURRICANE MICHAEL,ROOF,43462,DAMAGED ROOF REPAIR,3109 PRESERVE ROOKERY BLVD,JEFF PHILLIPS CONSTRUCTION INC,ISSUED
DIS18-06323,HURRICANE MICHAEL,DEMOLITION,43462,DEMO 3 SMALL OUTBUILDINGS,4334 SCHOONER LN,SPINNER'S CONSTRUCTION LLC,ISSUED
DIS18-06324,HURRICANE MICHAEL,ROOF,43462,ROOF OVER,6808 NORTH LAGOON DR,FLORIDA CONTRACTORS RESIDENTIA...,ISSUED
DIS18-06325,ADDRESS,VERIFY EXISTING ADDR, ,,,,APPLIED
DIS18-06326,HURRICANE MICHAEL,ROOF,43462,ROOF OVER,21317 DOLPHIN AVE,FLORIDA CONTRACTORS RESIDENTIA...,ISSUED
DIS18-06327,HURRICANE MICHAEL,ROOF,43462,ROOF OVER,21321 DOLPHIN AVE,FLORIDA CONTRACTORS RESIDENTIA...,ISSUED
DIS18-06328,HURRICANE MICHAEL,ELECTRICAL,43462,FEMA MH Power Pole,5007 BAY HEAD RD,FLORIDA METER POLE COMPANY INC...,ISSUED
DIS18-06329,HURRICANE MICHAEL,ROOF,43462,AMGED ROOF REPAIR,5226 BEACH DR,DONALSON CONTRACTING LLC,FINALED
DIS18-0633,HURRICANE MICHAEL,INTERIOR,43406,INTERIOR REMODEL - SEE NOTES,263 NELLIE ST 101,J T SHAW INC,ISSUED
DIS18-06330,HURRICANE MICHAEL,ROOF,43462,Hurricane Residential,3043 TRANSMITTER RD,SOUTHERN CONSTRUCTION (CCC) SE...,WITHDRAWN
DIS18-06331,HURRICANE MICHAEL,ROOF,43462,Hurricane Residential,2312 PRETTY BAYOU ISLAND DR,SOUTHERN CONSTRUCTION (CCC) SE...,ISSUED
DIS18-06332,HURRICANE MICHAEL,ROOF,43462,DAMAGED ROOF REPAIR,519 HIDDEN ISLAND DR,DONALSON CONTRACTING LLC,FINALED
DIS18-06333,HURRICANE MICHAEL,ELECTRICAL,43462,FEMA MH Power Pole,20533 FISHER RD,FLORIDA METER POLE COMPANY INC...,FINALED
DIS18-06334,HURRICANE MICHAEL,ROOF,43462,REROOF,4428 VISTA LN,WALKER ROOFING,FINALED
DIS18-06335,HURRICANE MICHAEL,ROOF,43462,Hurricane Replacement,125 MILL WAY,"KINGS ROOFING, LLC",FINALED
DIS18-06336,HURRICANE MICHAEL,ROOF,43462,Hurricane Replacement,2320 BEECH ST,"KINGS ROOFING, LLC",ISSUED
DIS18-06337,HURRICANE MICHAEL,ROOF,43462,Hurricane Replacement,450 WAHOO RD,"KINGS ROOFING, LLC",ISSUED
DIS18-06338,HURRICANE MICHAEL,DEMOLITION, ,DEMOLITION HOUSE,2129 TURKEY RUN,JAC CONSTRUCTION CO,APPLIED
DIS18-06339,HURRICANE MICHAEL,ROOF,43462,Hurricane Replacement,6311 NORTHWOOD ST,"KINGS ROOFING, LLC",ISSUED
DIS18-0634,HURRICANE MICHAEL,INTERIOR,43406,INTERIOR REMODEL - SEE NOTES,263 NELLIE ST 101,J T SHAW INC,ISSUED
DIS18-06340,HURRICANE MICHAEL,ROOF,43462,Hurricane Replacement,3406 PICADILLY LN,"KINGS ROOFING, LLC",ISSUED
DIS18-06341,HURRICANE MICHAEL,ROOF,43462,Hurricane Replacement,7308 KINGMAN ST 1D,"KINGS ROOFING, LLC",ISSUED
DIS18-06342,HURRICANE MICHAEL,ROOF,43462,Hurricane Replacement,7308 KINGMAN ST 1C,"KINGS ROOFING, LLC",ISSUED
DIS18-06343,HURRICANE MICHAEL,ROOF,43462,Hurricane Replacement,7308 KINGMAN ST 1B,"KINGS ROOFING, LLC",ISSUED
DIS18-06344,HURRICANE MICHAEL,ROOF,43462,Hurricane Replacement,7308 KINGMAN ST 1A,"KINGS ROOFING, LLC",ISSUED
DIS18-06345,HURRICANE MICHAEL,EXTERIOR,43462,DAMAGED EXTERIOR REPAIRS,21018 FRONT BEACH RD,"MORALES, STEVEN",FINALED
DIS18-06346,HURRICANE MICHAEL,ROOF,43462,Residential Hurricane Replacem...,2230 AMHURST ST,BURNETTE ROOFING & CONSTRUCTIO...,FINALED
DIS18-06347,HURRICANE MICHAEL,ROOF,43462,RE-Roof Residential Hurricane,5824 PINE TREE,SOUTHERN CONSTRUCTION (CCC) SE...,FINALED
DIS18-06348,HURRICANE MICHAEL,ROOF,43467,Hurricane Residential Replacem...,5305 BEACH DR,THOMAS CONSTRUCTION SERVICES I...,FINALED
DIS18-06349,HURRICANE MICHAEL,ROOF,43467,Hurricane Residential Replacem...,5312 BEACH DR 5314,THOMAS CONSTRUCTION SERVICES I...,FINALED
DIS18-0635,HURRICANE MICHAEL,INTERIOR,43406,INTERIOR REMODEL - SEE NOTES,263 NELLIE ST 101,J T SHAW INC,ISSUED
DIS18-06350,HURRICANE MICHAEL,ROOF,43467,Hurricane Residential Replacem...,5314 BEACH DR,THOMAS CONSTRUCTION SERVICES I...,FINALED
DIS18-06351,HURRICANE MICHAEL,ROOF,43462,DAMAGED ROOF REPAIR,181 MARLIN CIR,"ART CONSTRUCTION  OF NW FL, LL...",FINALED
DIS18-06352,HURRICANE MICHAEL,ROOF,43462,DAMAGED ROOF REPAIR,10818 SUNFLOWER LN,1ST CHOICE HOME IMPROVEMENTS I...,FINALED
DIS18-06353,HURRICANE MICHAEL,MECHANICAL,43462,DAMAGED ROOF REPAIR,7223 SOUTH LAKE JOANNA DR,A Superior Air Conditioning Co...,ISSUED
DIS18-06354,HURRICANE MICHAEL,ROOF,43462,DAMAGED ROOF REPAIR,439 HIDDEN ISLAND DR,CROWN EXTERIORS FLORIDA LLC,FINALED
DIS18-06355,HURRICANE MICHAEL,ROOF,43462,REROOF,4334 CINDY LN,JERRY WILSON'S ROOFING COMPANY,FINALED
DIS18-06356,HURRICANE MICHAEL,ROOF,43462,REROOF,1183 EISENHOWER CR,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06357,HURRICANE MICHAEL,ROOF,43462,REROOF,1187 EISENHOWER CR,JERRY WILSON'S ROOFING COMPANY,FINALED
DIS18-06358,HURRICANE MICHAEL,ROOF,43462,REROOF,2027 WILLOW BEND LN,JERRY WILSON'S ROOFING COMPANY,FINALED
DIS18-06359,HURRICANE MICHAEL,ROOF,43462,REROOF,136 JENKS CIR,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-0636,HURRICANE MICHAEL,INTERIOR,43406,INTERIOR REMODEL - SEE NOTES,263 NELLIE ST 101,J T SHAW INC,ISSUED
DIS18-06360,HURRICANE MICHAEL,ROOF,43462,REROOF,1815 25TH ST W,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06361,HURRICANE MICHAEL,ROOF,43462,REROOF,2041 WILLOW BEND LN,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06362,HURRICANE MICHAEL,ROOF,43462,REROOF,144 DERBY WOODS DR,JERRY WILSON'S ROOFING COMPANY,FINALED
DIS18-06363,HURRICANE MICHAEL,ROOF,43462,REROOF,1213 EISENHOWER CR,JERRY WILSON'S ROOFING COMPANY,FINALED
DIS18-06364,HURRICANE MICHAEL,ROOF,43462,EXPIRED,7303 DEER HAVEN RD S,JERRY WILSON'S ROOFING COMPANY,WITHDRAWN
DIS18-06365,HURRICANE MICHAEL,ROOF,43462,REROOF,16036 SANDSTONE RD,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06366,HURRICANE MICHAEL,ROOF,43462,REROOF,2323 RAINTREE PL,JERRY WILSON'S ROOFING COMPANY,FINALED
DIS18-06367,HURRICANE MICHAEL,ROOF,43462,REROOF,5613 SUNSET AVE,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06368,HURRICANE MICHAEL,ROOF,43462,REROOF,531 WAHOO RD,JERRY WILSON'S ROOFING COMPANY,FINALED
DIS18-06369,HURRICANE MICHAEL,ROOF,43462,REROOF,7813 CARRIAGE LN,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-0637,HURRICANE MICHAEL,INTERIOR,43406,INTERIOR REMODEL - SEE NOTES,263 NELLIE ST 101,J T SHAW INC,ISSUED
DIS18-06370,HURRICANE MICHAEL,ROOF,43462,REROOF,133 PALM HARBOUR BLVD,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06371,HURRICANE MICHAEL,ROOF,43462,REROOF,7637 KINGSWOOD RD,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06372,HURRICANE MICHAEL,ROOF,43462,REROOF,3905 24TH ST W,JERRY WILSON'S ROOFING COMPANY,FINALED
DIS18-06373,HURRICANE MICHAEL,ROOF,43462,REROOF,8412 ESTRELLA ST,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06374,HURRICANE MICHAEL,ROOF,43464,REROOF,2127 9TH ST E,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06375,HURRICANE MICHAEL,ROOF,43464,REROOF,1219 EISENHOWER CR,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06376,HURRICANE MICHAEL,ROOF,43464,REROOF,3429 HILLCREST DR,JERRY WILSON'S ROOFING COMPANY,FINALED
DIS18-06377,HURRICANE MICHAEL,ROOF,43464,REROOF,818 HARVARD BLVD,JERRY WILSON'S ROOFING COMPANY,FINALED
DIS18-06378,HURRICANE MICHAEL,ROOF,43464,REROOF,4020 HARRY WELLS RD,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06379,HURRICANE MICHAEL,ROOF,43464,REROOF,4330 DELEN DR,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-0638,HURRICANE MICHAEL,INTERIOR,43406,INTERIOR REMODEL - SEE NOTES,263 NELLIE ST 101,J T SHAW INC,ISSUED
DIS18-06380,HURRICANE MICHAEL,ROOF,43464,REROOF,318 WAHOO RD,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06381,HURRICANE MICHAEL,ROOF,43464,REROOF,7129 LAKELAND DR W,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06382,HURRICANE MICHAEL,ROOF,43464,REROOF,118 TREASURE PALMS DR,JERRY WILSON'S ROOFING COMPANY,FINALED
DIS18-06383,HURRICANE MICHAEL,ROOF,43464,REROOF,1618 BRITTON RD,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06384,HURRICANE MICHAEL,ROOF,43464,REROOF,1125 COLLEGE BLVD N,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06385,HURRICANE MICHAEL,ROOF,43464,REROOF,371 WAHOO RD,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06386,HURRICANE MICHAEL,ROOF,43464,REROOF,3709 SHORELINE CIR,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06387,HURRICANE MICHAEL,ROOF,43464,REROOF,2322 PRETTY BAYOU DR,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06388,HURRICANE MICHAEL,ROOF,43464,REROOF,13231 WHITE WESTERN SPRINGS RD,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06389,HURRICANE MICHAEL,ROOF,43464,REROOF,1219 THOMAS DR 2,JERRY WILSON'S ROOFING COMPANY,FINALED
DIS18-0639,HURRICANE MICHAEL,INTERIOR,43406,INTERIOR REMODEL - SEE NOTES,263 NELLIE ST 101,J T SHAW INC,ISSUED
DIS18-06390,HURRICANE MICHAEL,ROOF,43464,REROOF,3725 DOE RUN,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06391,HURRICANE MICHAEL,ROOF,43464,REROOF,4601 MISTY LN,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06392,HURRICANE MICHAEL,ROOF,43464,REROOF,113 QUEENS CIR,JERRY WILSON'S ROOFING COMPANY,FINALED
DIS18-06393,HURRICANE MICHAEL,ROOF,43464,REROOF,8309 HIGH POINT RD,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06394,HURRICANE MICHAEL,ROOF,43464,REROOF,7507 NAUTICAL CT,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06395,HURRICANE MICHAEL,ROOF,43464,REROOF,3707 WILD TURKEY LN,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06396,HURRICANE MICHAEL,ROOF,43464,REROOF,4842 CHEROKEE HEIGHTS RD,JERRY WILSON'S ROOFING COMPANY,FINALED
DIS18-06397,HURRICANE MICHAEL,ROOF,43464,REROOF,3731 DOE RUN,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06398,HURRICANE MICHAEL,ROOF,43464,REROOF,7709 SWEETBRIAR RD,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06399,HURRICANE MICHAEL,ROOF,43464,REROOF,5012 MERRITT BROWN DR,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-0640,HURRICANE MICHAEL,INTERIOR,43406,INTERIOR REMODEL - SEE NOTES,263 NELLIE ST 101,J T SHAW INC,ISSUED
DIS18-06400,HURRICANE MICHAEL,ROOF,43464,REROOF,334 BALDWIN RD W,JERRY WILSON'S ROOFING COMPANY,FINALED
DIS18-06401,HURRICANE MICHAEL,ROOF,43465,DAMAGED ROOF REPAIR,6939 WOOD PL,"JONES ROOFING, INC.",ISSUED
DIS18-06402,HURRICANE MICHAEL,ROOF,43465,DAMAGED ROOF REPAIR,6928 WOOD PL,"JONES ROOFING, INC.",ISSUED
DIS18-06403,HURRICANE MICHAEL,ROOF,43465,REROOF,4228 GARRISON RD,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06404,HURRICANE MICHAEL,ROOF,43465,DAMAGED ROOF REPAIR,1925 KINGSLEE DR,"AMMONS, ROY F & JOANN",FINALED
DIS18-06405,HURRICANE MICHAEL,ELECTRICAL,43465,ADDITIONS WITHOUT SERV CHANGE,2927 FAWN RD,"PEADEN (EC) MECHANICAL, LLC",ISSUED
DIS18-06406,HURRICANE MICHAEL,PLUMBING,43465,PLUMBING,2927 FAWN RD,PEADEN PLUMBING  - MIKE PEADEN,HOLD
DIS18-06407,HURRICANE MICHAEL,GAS,43465,GAS WATER HEATER,2927 FAWN RD,PEADEN PLUMBING  - MIKE PEADEN,ISSUED
DIS18-06408,HURRICANE MICHAEL,ROOF,43465,REROOF,4336 DELEN DR,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06409,HURRICANE MICHAEL,ROOF,43465,DAMAGED ROOF REPAIR,221 SCOOTER DR,STACEY S. WILSON,FINALED
DIS18-0641,HURRICANE MICHAEL,ROOF,43409,DAMAGED ROOF REPAIR,2503 PELICAN BAY DR,LYON HOME ENTERPRISES LLC,FINALED
DIS18-06410,HURRICANE MICHAEL,ELECTRICAL,43465,SERVICE REPAIR,8352 ANGIE CIR,OWNER/BUILDER,FINALED
DIS18-06411,HURRICANE MICHAEL,DEMOLITION,43465,DEMO,6323 RASCH RD,STACEY S. WILSON,ISSUED
DIS18-06412,HURRICANE MICHAEL,ROOF,43465,COMM  91 SQS   METAL,4335 HWY 231,ROYSTER CONTRACTING LLC,FINALED
DIS18-06413,HURRICANE MICHAEL,DAMAGE ASSESSMENT,43465,SUBSTANTIAL DAMAGE ASSESMENT,7137 BAY CREST RD,OWNER BUILDER,ISSUED
DIS18-06414,HURRICANE MICHAEL,ROOF,43465,DAMAGED ROOF REPAIR,7404 JACKSON AVE,SALAZAR ROOFING CORPORATION,FINALED
DIS18-06415,HURRICANE MICHAEL,ELECTRICAL,43496,Temp Power Pole,12324 GREENBRIAR DR,self,FINALED
DIS18-06416,HURRICANE MICHAEL,ELECTRICAL,43465,FEMA TEMP POWER POLE *6340 AMM...,6342 AMMONS LN,FLORIDA METER POLE COMPANY INC...,FINALED
DIS18-06417,HURRICANE MICHAEL,ROOF,43465,REPLACEMENT ROOF 30 SQ,4829 MC CALL LN,J STARLING CONSTRUCTION LLC,FINALED
DIS18-06418,HURRICANE MICHAEL,ROOF,43465,REPLACEMENT ROOF 30 SQ,2929 CEDAR'S CROSSING,J STARLING CONSTRUCTION LLC,FINALED
DIS18-06419,HURRICANE MICHAEL,ROOF,43465,REROOF,5441 NICOLE BLVD,"AMA ROOFING, LLC",ISSUED
DIS18-0642,HURRICANE MICHAEL,ELECTRICAL,43404,SERVICE REPAIR- HM,5127 STEWART DR,"SANDCASTLE ELECTRIC, INC",FINALED
DIS18-06420,HURRICANE MICHAEL,ELECTRICAL,43465,DAMAGED ELECTRICAL REPAIR,741 ALPINE WAY,"TELFORD REYNOLDS ELECTRIC, INC...",FINALED
DIS18-06421,HURRICANE MICHAEL,ROOF,43470,Hurricane Replacement Resident...,6815 REBEKAH LN,"ROOF SYSTEMS UNLIMITED, INC.",FINALED
DIS18-06422,HURRICANE MICHAEL,ROOF,43470,Hurricane Replacement Resident...,6530 HWY 2301,"ROOF SYSTEMS UNLIMITED, INC.",FINALED
DIS18-06423,HURRICANE MICHAEL,ROOF,43470,Hurricane Replacement Resident...,7329 RACHEL WAY,"ROOF SYSTEMS UNLIMITED, INC.",ISSUED
DIS18-06424,HURRICANE MICHAEL,ROOF,43470,Hurricane Replacement Resident...,2906 PATRICIA ANN LN,"ROOF SYSTEMS UNLIMITED, INC.",FINALED
DIS18-06425,HURRICANE MICHAEL,ROOF,43470,Hurricane Replacement Resident...,5910 OAK RIDGE CT,"ROOF SYSTEMS UNLIMITED, INC.",FINALED
DIS18-06426,HURRICANE MICHAEL,ROOF,43465,REROOF,3139 KINGS DR,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06427,HURRICANE MICHAEL,ROOF,43465,DAMAGED ROOF REPAIR,5602 ARNOLD RD,"MC LEAN, GARY R & JUDITH MARIE",FINALED
DIS18-06428,HURRICANE MICHAEL,ROOF,43465,REROOF,453 WAHOO RD,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06429,HURRICANE MICHAEL,ROOF,43465,DAMAGED ROOF REPAIR,1015 BARRACUDA DR,"TOTAL HOMES, INC",ISSUED
DIS18-0643,HURRICANE MICHAEL,ELECTRICAL,43404,SERVICE REPAIR - HM,3721 DELWOOD DR,"SANDCASTLE ELECTRIC, INC",FINALED
DIS18-06430,HURRICANE MICHAEL,DEMOLITION, ,DEMOLITION,3330 ORLANDO RD,M & M Land Clearing & DEMO,APPLIED
DIS18-06431,HURRICANE MICHAEL,ELECTRICAL,43465,SERVICE REPAIR,12425 MASSIMIANI DR,OWNER/BUILDER,FINALED
DIS18-06432,HURRICANE MICHAEL,ROOF,43465,REPLACEMENT ROOF 17SQ,10707 IOWA ST,OWNER/BUILDER,WITHDRAWN
DIS18-06433,HURRICANE MICHAEL,ROOF,43465,REROOF,3204 WOOD VALLEY RD,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-06434,HURRICANE MICHAEL,ROOF,43465,REROOF,4110 HARLAN SHOPE RD,AMERICAN MASTERCRAFT INC.,FINALED
DIS18-06435,HURRICANE MICHAEL,EXTERIOR,43465,DAMAGED EXTERIOR REPAIR,5422 INDIAN BLUFF DR,MAHAFFEY (Roofing) BUILDERS IN...,FINALED
DIS18-06436,HURRICANE MICHAEL,ROOF,43465,REROOF,2717 BALDWIN RD E,AMERICAN MASTERCRAFT INC.,ISSUED
DIS18-06437,HURRICANE MICHAEL,INTERIOR,43465,INSULATION,2910 NADINE CT,AMERICAN MASTERCRAFT INC.,ISSUED
DIS18-06438,HURRICANE MICHAEL,DEMOLITION,43465,DEMO,2609 17TH ST E,"JOYNER, SABRINA LYNN",ISSUED
DIS18-06439,HURRICANE MICHAEL,DEMOLITION,43465,DEMO,2617 17TH ST E,"JOYNER, SABRINA LYNN",ISSUED
DIS18-0644,HURRICANE MICHAEL,ELECTRICAL,43404,SERVICE REPAIR,11549 JADEWOOD CIR,"SANDCASTLE ELECTRIC, INC",FINALED
DIS18-06440,HURRICANE MICHAEL,ROOF,43465,REPLACEMENT ROOF 37SQ,5132 OLD MAJETTE TOWER RD,OWNER/BUILDER,FINALED
DIS18-06441,HURRICANE MICHAEL,ROOF,43465,Hurricane Replacement Resident...,14936 LITTLE ISLAND POND RD,EDGE 2 EDGE ROOFING LLC,ISSUED
DIS18-06442,HURRICANE MICHAEL,ROOF,43465,Hurricane Replacement Resident...,3424 HIGH CLIFF RD,EDGE 2 EDGE ROOFING LLC,FINALED
DIS18-06443,HURRICANE MICHAEL,ELECTRICAL,43465,DAMAGED ELECTRICAL REPAIR,8406 BRANDON RD,BROWN'S ELECTRIC SERVICE,FINALED
DIS18-06444,HURRICANE MICHAEL,ROOF,43465,REROOF,7303 COPENHAGEN DR,Flagala Inc,FINALED
DIS18-06445,HURRICANE MICHAEL,ROOF,43465,REROOF,4437 BLUEWATER DR,Flagala Inc,FINALED
DIS18-06446,HURRICANE MICHAEL,ELECTRICAL,43465,Service Repair Lot#33,1836 EAST AVE N 38,JERRY PYBUS ELECTRIC INC,FINALED
DIS18-06447,HURRICANE MICHAEL,ROOF,43465,REROOF,118 ROYAL PALM BLVD,JERRY WILSON'S ROOFING COMPANY,FINALED
